speaker,turn_index,text
A,1,"Welcome to Open to Debate. I'm John Donvan and we are gathered for something remarkable here. A meeting between two men who disagree fiercely across an issue that has fiercely divided so many of us within families and on college campuses. And for that alone, for their courage in coming to the same stage, let us congratulate them at the outset because we know how rare it is in our currently hyper polarized culture for opposing viewpoints to be heard, spoken aloud and in competition with each other under the same roof. But that is the essence of debate and that is the value that we promote it. Open to debate. And so it is an honor to be here at New York's venerable Adler Hall, a crown jewel of the New York Society for Ethical Culture, where we cannot and we will not forget how the war in Gaza is steeped in pain and outrage and fear and anger. It's why this debate matters and it's why it is natural to take sides, even necessary to take sides. But listening to the other side, which these debaters will be called to do with one another, and which I hope you will do as members of the audience, just by being here, that may be a first step at least in understanding how and why and exactly why we disagree. The question we have framed for this purpose and that we will hear debated tonight is this, Were Israel's actions in the war in Gaza justified? Let's meet our debaters answering yes to the question, were Israel's actions in the Gaza war justified? I want to welcome Ilan Levy. Thank you. Elon, you are the, you can stay with me here. You're the, you are, you're the former spokesperson for Israel in the October 7 war, co founder of the Israeli Citizen Spokesperson's office, host of the State of a Nation podcast. Welcome to Open Debate. And here to argue no to the question, were Israel's actions in the Gaza war justified? I want to welcome Mehdi Hassan. Mehdi, you are founder, editor in chief and CEO of Zateo, host of Al Jazeera's Head to Head, an award winning journalist. Welcome to Open to Debate."
B,1,Thank you for having me.
A,2,"And gentlemen, thanks each of you for being here tonight. Let's start it with a handshake and then we can begin the debate."
C,1,Glad to take this offline.
B,2,Thank you.
A,3,"So let's get to our opening statements. We want each of you to take a few minutes to explain why you're answering yes or no to our question, were Israel's actions in the Gaza war justified? And when I say were, I just want to be clear. We chose that word. To talk about Israel's immediate actions after what happened on October 7, up through today, it's everything. It's not this moment, it's not that moment. It's the course of things. Ilan, you are up first. Your answer to the question is yes. The floor is yours. Please tell us why."
C,2,"On October 7, Hamas perpetrated an act of genocide against the people of Israel. Its death squads invaded with a clear mission to massacre as many people as they could, as sadistically as they could, and to take survivors as hostages. Hamas had a strategy to lure Israel into an urban war and generate enough suffering that the world would pressure Israel to leave Hamas alone, to do it again and again. Hamas slaughtered 1200 people on that day at a music festival. And in their beds, they cremated little children alive. They perpetrated barbaric acts of sexual violence. They beheaded, tortured, and mutilated their victims alive and dead. And they did it with glee. And then they took over 250 hostages, including little children, paraded them through the streets of Gaza to jeering crowds, hid them in tunnels and homes where they are being starved and tortured and raped and executed. It was the deadliest terror attack in world history after 9 11, the bloodiest massacre of Jews since the Holocaust, and the opening shot of the Iranian regime's regional war against Israel on seven fronts. At this point, Israel faced a choice, as Hamas immediately threatened to do it again and again until Israel was destroyed. To do nothing or to do something. Both would have consequences. Doing nothing meant letting Hamas get away with October 7th, leave it free to do it again and again, only this time with thousands of dangerous terrorists released from jail and with its popularity skyrocketing. That's not an option. Doing something meant targeting Hamas terrorists in accordance with international law in order to dismantle their ability to wage war and live out that threat. To do it again and again. That was the choice that Israel faced after October 7th. Now, after October 7th, that campaign to bring Hamas down and bring the hostages home was the only moral response. Hamas exists for the sake of war and for the sake of peace. It must go. Let me explain Israel's strategy. Israel's strategy is to get civilians out of harm's way so that it can target Hamas's terrorist infrastructure under their feet. Hamas strategy is to keep civilization civilians in harm's way so that it can use them to shield their military infrastructure. Israel left Gaza in 2005 and never wanted to go back. But Hamas seized power two years later, started firing rockets at our cities, and rigged Gaza's urban landscape for war. They dug a network of military tunnels, one and a half times longer than New York subway, under homes and schools and hospitals. They booby trapped tens of thousands of buildings. They started firing rockets at our homes and our towns from inside their schools and their hospitals. In response, Israel's actions are to target Hamas's terrorists and to take unprecedented efforts to keep their civilians safe from their own leaders. Sick strategy to sacrifice them on the altar of jihad. That's why it keeps repeatedly urging them to get out of harm's way from Hamas strongholds and flooding the area with over a million tons of aid. Because it keeps saying, this is a war against Hamas, not the people of Gaza. Now, the suffering of my neighbors in Gaza is horrific. I blame their psychopath leaders for launching this war, fighting it inside civilian areas, and refusing to release the hostages and surrender. Now, tonight's debate is about whether Israel's actions in the war in Gaza are justified in a context in which I hope we can all agree none of the enemy's actions are justified because we are fighting a jihadist army that has as much respect for humanity and law as Mehdi Hassan has for the truth. Mehdi may say, I condemn Hamas acts on October 7, but he will not condemn its strategy because he is part of of its strategy. Hamas is counting on its defense attorney to shield it from the consequences of the war that it started and deflect blame onto Israel so it can do October 7th again. Maybe because they share a goal that Israel shouldn't exist. Mehdi Hassan will say tonight that October 7th does not justify Israel's actions in this horrible war. My question then, is this."
A,4,"Elon, I'm sorry, your time is up."
C,3,What does? October.
A,5,"I'm sorry, your time is up. Thank you. Mehdi. Elon, in already calling your opponent a liar, you have already crossed one of the lines of the culture that we try to establish here. I wish you hadn't. You don't."
B,3,I don't mind. It's fine. It's fine. It's fine. I have to do that.
A,6,"You don't. You don't need to do that to make your case. Please. Mehdihasan, you are answering no in answer to the question, were Israel's actions in the Gaza war justified?"
B,4,"All right, so, ladies and gentlemen, the question were they justified? Were the actions justified?"
A,7,And it would be great if you didn't feel the need to respond to the personal attack. A little wasted.
